SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,49,001,Utah,Beaver County,1,7073,3750,3323,522,260,262,1113,575,538,536,286,250,674,367,307,5165,2758,2407,4902,2629,2273,2830,1536,1294,1750,957,793,1493,802,691,985,503,482,522,260,262,583,314,269,660,335,325,605,322,283,475,257,218,414,238,176,373,209,164,484,248,236,479,262,217,368,190,178,317,181,136,394,223,171,414,208,206,348,186,162,259,131,128,186,84,102,117,64,53,75,38,37,33.8,33.5,34.1
050,49,001,Utah,Beaver County,2,7088,3766,3322,520,263,257,1110,574,536,535,285,250,676,371,305,5192,2780,2412,4923,2644,2279,2837,1542,1295,1754,956,798,1494,802,692,999,515,484,520,263,257,578,310,268,660,334,326,604,323,281,479,263,216,418,237,181,378,213,165,475,243,232,483,263,220,371,193,178,320,180,140,386,218,168,417,211,206,352,188,164,267,137,130,185,85,100,119,65,54,76,40,36,33.8,33.5,34.1
050,49,001,Utah,Beaver County,3,7216,3846,3370,500,263,237,1109,564,545,556,296,260,715,393,322,5340,2881,2459,5051,2723,2328,2934,1604,1330,1788,976,812,1507,821,686,1041,533,508,500,263,237,574,297,277,660,328,332,634,339,295,512,289,223,438,238,200,378,215,163,470,250,220,502,273,229,386,205,181,336,187,149,354,205,149,431,224,207,374,193,181,306,165,141,173,79,94,117,63,54,71,33,38,33.6,33.8,33.5
050,49,001,Utah,Beaver County,4,7348,3932,3416,512,272,240,1095,568,527,544,288,256,714,386,328,5467,2959,2508,5197,2804,2393,2945,1617,1328,1840,1016,824,1527,834,693,1116,568,548,512,272,240,578,301,277,670,340,330,610,330,280,495,271,224,474,270,204,424,239,185,433,228,205,509,279,230,416,227,189,349,190,159,333,192,141,429,225,204,402,201,201,322,177,145,191,87,104,126,66,60,75,37,38,33.8,33.7,33.8
050,49,001,Utah,Beaver County,5,7291,3882,3409,532,287,245,1040,538,502,540,273,267,740,404,336,5429,2917,2512,5179,2784,2395,2916,1576,1340,1773,965,808,1498,821,677,1168,594,574,532,287,245,542,278,264,635,326,309,623,335,288,520,276,244,486,280,206,409,224,185,406,215,191,472,246,226,427,238,189,357,196,161,306,167,139,408,220,188,418,204,214,338,190,148,203,91,112,132,64,68,77,45,32,33.7,33.6,33.9
050,49,001,Utah,Beaver County,6,7424,3944,3480,545,296,249,1046,539,507,542,269,273,744,421,323,5558,2971,2587,5291,2840,2451,2980,1608,1372,1832,990,842,1489,807,682,1226,622,604,545,296,249,552,277,275,632,334,298,612,321,291,536,297,239,508,283,225,447,244,203,411,219,192,466,244,222,447,253,194,361,195,166,289,149,140,392,210,182,425,208,217,349,193,156,222,103,119,147,70,77,83,48,35,33.7,33.5,34.1
050,49,003,Utah,Box Elder County,1,57665,29489,28176,4440,2314,2126,9439,4883,4556,4228,2241,1987,5101,2732,2369,41651,21161,20490,39558,20051,19507,23438,12106,11332,15168,7701,7467,11915,6020,5895,7374,3598,3776,4440,2314,2126,4945,2546,2399,5553,2905,2648,4658,2469,2189,3612,1936,1676,3704,1879,1825,3452,1732,1720,4104,2108,1996,3908,1982,1926,3045,1536,1509,2700,1374,1326,3092,1575,1517,3078,1535,1543,2572,1292,1280,1780,909,871,1343,642,701,952,427,525,727,328,399,32.8,31.9,33.6
050,49,003,Utah,Box Elder County,2,57948,29620,28328,4435,2288,2147,9443,4888,4555,4281,2268,2013,5145,2752,2393,41901,21293,20608,39789,20176,19613,23589,12189,11400,15248,7750,7498,11970,6049,5921,7426,3625,3801,4435,2288,2147,4967,2560,2407,5561,2909,2652,4688,2487,2201,3653,1952,1701,3720,1897,1823,3480,1744,1736,4106,2100,2006,3942,2009,1933,3087,1552,1535,2725,1396,1329,3068,1561,1507,3090,1540,1550,2594,1297,1297,1810,921,889,1355,650,705,935,423,512,732,334,398,32.8,32.0,33.6
050,49,003,Utah,Box Elder County,3,59694,30584,29110,4426,2291,2135,9565,4977,4588,4490,2393,2097,5375,2867,2508,43398,22080,21318,41213,20923,20290,24509,12724,11785,15830,8092,7738,12344,6239,6105,7664,3725,3939,4426,2291,2135,5170,2693,2477,5581,2912,2669,4862,2611,2251,3817,2021,1796,3861,1992,1869,3684,1852,1832,4117,2074,2043,4168,2174,1994,3289,1631,1658,2847,1478,1369,2966,1492,1474,3242,1638,1604,2682,1332,1350,1977,997,980,1359,654,705,899,401,498,747,341,406,32.8,32.0,33.7
050,49,003,Utah,Box Elder County,4,61590,31614,29976,4586,2334,2252,9653,5037,4616,4680,2500,2180,5572,2954,2618,44959,22972,21987,42671,21743,20928,25509,13308,12201,16433,8480,7953,12727,6443,6284,7939,3866,4073,4586,2334,2252,5289,2790,2499,5540,2873,2667,5091,2725,2366,3985,2103,1882,4063,2148,1915,3914,1970,1944,4132,2091,2041,4324,2271,2053,3618,1798,1820,2909,1517,1392,2889,1453,1436,3311,1675,1636,2788,1381,1407,2044,1033,1011,1448,703,745,912,427,485,747,322,425,32.8,32.1,33.6
