School District,County,Health District
Box Elder,Box Elder,Bear River
Cache,Cache,Bear River
Logan,Cache,Bear River
Rich,Rich,Bear River
Juab,Juab,Central
Tintic,Juab,Central
Millard,Millard,Central
Piute,Piute,Central
North Sanpete,Sanpete,Central
South Sanpete,Sanpete,Central
Sevier,Sevier,Central
Wayne,Wayne,Central
Davis,Davis,Davis
Canyons,Salt Lake,Salt Lake
Granite,Salt Lake,Salt Lake
Jordan,Salt Lake,Salt Lake
Murray,Salt Lake,Salt Lake
Salt Lake City,Salt Lake,Salt Lake
San Juan,San Juan,San Juan
Grand,Grand,Southeast
Carbon,Carbon,Southeast
Emery,Emery,Southeast
Beaver,Beaver,Southwest
Garfield,Garfield,Southwest
Iron,Iron,Southwest
Kane,Kane,Southwest
Washington,Washington,Southwest
North Summit,Summit,Summit
Park City,Summit,Summit
South Summit,Summit,Summit
Tooele,Tooele,Tooele
Daggett,Daggett,TriCounty
Duchesne,Duchesne,TriCounty
Uintah,Uintah,TriCounty
Alpine,Utah,Utah
Nebo,Utah,Utah
Provo,Utah,Utah
Wasatch,Wasatch,Wasatch
Morgan,Morgan,Weber-Morgan
Ogden,Weber,Weber-Morgan
Weber,Weber,Weber-Morgan
