Min Age,"Beaver County, Utah!!Total!!Estimate","Box Elder County, Utah!!Total!!Estimate","Cache County, Utah!!Total!!Estimate","Carbon County, Utah!!Total!!Estimate","Daggett County, Utah!!Total!!Estimate","Davis County, Utah!!Total!!Estimate","Duchesne County, Utah!!Total!!Estimate","Emery County, Utah!!Total!!Estimate","Garfield County, Utah!!Total!!Estimate","Grand County, Utah!!Total!!Estimate","Iron County, Utah!!Total!!Estimate","Juab County, Utah!!Total!!Estimate","Kane County, Utah!!Total!!Estimate","Millard County, Utah!!Total!!Estimate","Morgan County, Utah!!Total!!Estimate","Piute County, Utah!!Total!!Estimate","Rich County, Utah!!Total!!Estimate","Salt Lake County, Utah!!Total!!Estimate","San Juan County, Utah!!Total!!Estimate","Sanpete County, Utah!!Total!!Estimate","Sevier County, Utah!!Total!!Estimate","Summit County, Utah!!Total!!Estimate","Tooele County, Utah!!Total!!Estimate","Uintah County, Utah!!Total!!Estimate","Utah County, Utah!!Total!!Estimate","Wasatch County, Utah!!Total!!Estimate","Washington County, Utah!!Total!!Estimate","Wayne County, Utah!!Total!!Estimate","Weber County, Utah!!Total!!Estimate"
0,499,4459,10573,1295,33,26804,1597,617,284,415,4015,921,429,958,797,56,213,78006,872,1744,1427,2206,5716,2777,59337,2247,11381,165,18303
5,645,4999,12026,1448,31,31999,1963,765,188,534,4712,1065,450,1074,1190,108,285,85454,1243,1885,1532,2590,6552,3470,61010,2905,12626,158,19842
10,548,5627,10916,1555,67,33856,1798,892,408,579,4932,1362,605,1362,1369,83,191,88366,1116,1964,1997,3352,7488,3271,62240,3411,14206,159,21334
15,122,1178,2696,364,22,6981,326,121,100,145,1197,303,126,203,390,13,77,18317,198,485,364,674,1518,627,12701,535,3215,22,4148
16,332,2205,4429,598,16,13424,776,438,141,113,1794,486,201,540,539,59,70,36201,613,1043,883,1329,2888,1488,24643,1491,5710,96,8469
18,245,1537,6500,647,48,10106,505,256,259,68,2736,312,150,396,395,76,39,31845,366,1603,540,1063,2122,999,29349,1023,5407,22,6819
20,132,669,3208,142,15,5521,201,144,27,260,1861,83,11,211,155,57,63,14975,306,564,301,504,1026,394,13998,538,2223,13,3426
21,242,3180,15867,1010,6,18717,867,362,65,687,4895,751,274,479,601,91,48,69031,838,2181,1011,2000,3906,1768,71540,1579,9763,112,15639
25,891,7603,19323,2375,41,50017,2363,974,658,1404,7799,1480,952,1592,1090,95,233,193465,1725,3580,2391,4624,10671,4555,102224,3812,21780,274,40715
35,910,8176,15959,2517,94,55298,2836,1298,695,1378,6907,1563,925,1605,1714,192,290,175834,1589,3806,2973,5480,11864,5320,85369,5111,22556,303,37712
45,804,6241,12041,2272,116,40799,2071,1089,497,891,5741,1387,880,1128,1583,166,222,138654,1525,3218,2325,6254,9042,3934,62314,4344,19062,259,29765
55,281,3089,4708,941,55,17207,933,544,367,286,2751,486,515,507,592,106,167,59029,911,1289,1283,3039,3566,1957,23926,2066,9795,165,13913
60,199,1327,1996,667,29,6805,554,306,117,308,983,242,233,251,352,60,39,23944,456,690,571,1237,1466,599,9056,795,4154,126,5885
62,266,1764,3239,772,39,9814,599,371,191,669,1819,291,324,620,298,59,103,34431,366,964,600,2095,1891,1023,12701,1252,6025,93,7852
65,695,4614,8140,2409,93,24231,1579,1123,740,1301,5123,940,1154,1271,908,260,341,85878,1303,2587,2217,4281,4405,2777,32408,3139,23413,387,20095
75,285,2248,3724,1155,34,11460,718,500,282,592,2168,482,711,673,537,197,166,37198,633,1263,1136,1607,2073,1132,15484,1287,13782,167,9268
85,76,809,1686,279,8,3703,246,168,151,67,768,119,56,309,75,27,41,14061,406,343,303,374,454,367,5322,273,4729,36,2998
