Min Age,"Alpine School District, UT","Beaver School District, UT","Box Elder School District, UT","Cache School District, UT","Canyons School District, UT","Carbon School District, UT","Daggett School District, UT","Davis School District, UT","Duchesne School District, UT","Emery School District, UT","Garfield School District, UT","Grand School District, UT","Granite School District, UT","Iron School District, UT","Jordan School District, UT","Juab School District, UT","Kane School District, UT","Logan School District, UT","Millard School District, UT","Morgan School District, UT","Murray School District, UT","Nebo School District, UT","North Sanpete School District, UT","North Summit School District, UT","Ogden School District, UT","Park City School District, UT","Piute School District, UT","Provo School District, UT","Rich School District, UT","Salt Lake City School District, UT","San Juan School District, UT","Sevier School District, UT","South Sanpete School District, UT","South Summit School District, UT","Tintic School District, UT","Tooele School District, UT","Uintah School District, UT","Wasatch School District, UT","Washington School District, UT","Wayne School District, UT","Weber School District, UT"
0,38411,499,4459,6512,14142,1295,33,26804,1597,617,284,521,28240,4015,23363,854,429,4061,958,797,2224,14353,764,346,5815,998,56,6573,213,10037,766,1427,980,862,67,5716,2777,2247,11381,165,12488
5,41000,645,4999,8563,15917,1448,31,31999,1963,765,188,684,29717,4712,29102,991,450,3463,1074,1190,1921,14562,846,369,5592,1616,108,5448,285,8797,1093,1532,1039,605,74,6552,3470,2905,12626,158,14250
10,40310,548,5627,8332,15889,1555,67,33856,1798,892,408,658,30857,4932,28887,1296,605,2584,1362,1369,2820,16289,917,468,5705,2129,83,5641,191,9913,1037,1997,1047,755,66,7488,3271,3411,14206,159,15629
15,8098,122,1178,1791,3820,364,22,6981,326,121,100,145,6658,1197,5414,295,126,905,203,390,373,3374,243,66,1200,424,13,1229,77,2052,198,364,242,184,8,1518,627,535,3215,22,2948
16,15513,332,2205,3049,6810,598,16,13424,776,438,141,115,13506,1794,10967,393,201,1380,540,539,985,6493,415,236,2213,783,59,2637,70,3933,611,883,628,310,93,2888,1488,1491,5710,96,6256
18,15799,245,1537,2151,4355,647,48,10106,505,256,259,68,10437,2736,8692,278,150,4349,396,395,840,5658,514,142,2304,731,76,7892,39,7521,366,540,1089,190,34,2122,999,1023,5407,22,4515
20,7509,132,669,1248,2528,142,15,5521,201,144,27,260,4961,1861,3147,79,11,1960,211,155,389,1762,206,73,1089,366,57,4727,63,3950,306,301,358,65,4,1026,394,538,2223,13,2337
21,30741,242,3180,4746,10609,1010,6,18717,867,362,65,718,22998,4895,13545,664,274,11121,479,601,2378,8519,631,341,6243,1185,91,32280,48,19501,807,1011,1550,474,87,3906,1768,1579,9763,112,9396
25,63092,891,7603,9536,34509,2375,41,50017,2363,974,658,1445,62285,7799,46869,1377,952,9787,1592,1090,6890,21161,1289,655,15971,2871,95,17971,233,42912,1684,2391,2291,1098,103,10671,4555,3812,21780,274,24744
35,55345,910,8176,11151,32526,2517,94,55298,2836,1298,695,1578,58380,6907,50630,1461,925,4808,1605,1714,5736,20778,1765,789,11951,3465,192,9246,290,28562,1389,2973,2041,1226,102,11864,5320,5111,22556,303,25761
45,40634,804,6241,9027,26431,2272,116,40799,2071,1089,497,1085,46286,5741,38675,1283,880,3014,1128,1583,5009,15224,1436,819,9569,4401,166,6456,222,22253,1331,2325,1782,1034,104,9042,3934,4344,19062,259,20196
55,14504,281,3089,3628,11709,941,55,17207,933,544,367,319,20071,2751,15219,405,515,1080,507,592,2010,6465,704,311,4976,2219,106,2957,167,10020,878,1283,585,509,81,3566,1957,2066,9795,165,8937
60,5696,199,1327,1567,5061,667,29,6805,554,306,117,318,8771,983,5615,205,233,429,251,352,736,2133,309,194,2184,784,60,1227,39,3761,446,571,381,259,37,1466,599,795,4154,126,3701
62,7151,266,1764,2295,7440,772,39,9814,599,371,191,675,12686,1819,7269,252,324,944,620,298,1281,3691,547,355,2326,1497,59,1859,103,5755,360,600,417,243,39,1891,1023,1252,6025,93,5526
65,18813,695,4614,6155,18714,2409,93,24231,1579,1123,740,1347,28073,5123,20039,800,1154,1985,1271,908,3666,9340,1280,541,6196,2907,260,4255,341,15386,1257,2217,1307,833,140,4405,2777,3139,23413,387,13899
75,9185,285,2248,2482,8108,1155,34,11460,718,500,282,614,13488,2168,7040,421,711,1242,673,537,1761,4105,800,316,2592,1023,197,2194,166,6801,611,1136,463,268,61,2073,1132,1287,13782,167,6676
85,3010,76,809,1154,3205,279,8,3703,246,168,151,67,5141,768,2435,103,56,532,309,75,546,1393,152,42,1033,266,27,919,41,2734,406,303,191,66,16,454,367,273,4729,36,1965
